DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20,percent_40,Nomal_Rate
深圳（大铲湾）_泉州,3214,120,803.5125,2,2,0.5,0.75
烟台_鹏成,18170,200,3634.05,5,0,1.0,0.80
南庄_扬州,2035,60,678.65,0,3,0.0,1.00
肇庆（三榕）_安庆,1919,80,479.85,0,4,0.0,0.50
钦州_龙口,3007,40,1503.6,0,2,0.0,1.00
扬州_马尾,15549,160,1943.68125,0,8,0.0,1.00
锦州_泸州,47166,200,4716.6,0,10,0.0,0.80
宿迁_乐平,5880,80,2940.0,2,0,1.0,1.00
徐州_肇庆（三榕）,15960,160,1995.0,0,8,0.0,1.00
铜陵_珠海（高栏）,11626,160,1937.7749999999996,2,4,0.3333333333333333,0.33
芜湖_石龙,2448,40,1224.3,0,2,0.0,0.00
宿迁_阳江,9135,80,2283.75,0,4,0.0,0.50
青岛_虎门,7949,80,2649.85,1,2,0.3333333333333333,1.00
塘源_上海,1299,40,649.95,0,2,0.0,1.00
珠海（高栏）_芜湖,1063,20,1063.65,0,1,0.0,0.00
莱州_漳州,10395,140,1485.0,0,7,0.0,1.00
荆州_三埠,1942,20,1942.5,0,1,0.0,0.00
淮安_乐平,7140,80,1785.0,0,4,0.0,1.00
勒流_宁波,1407,40,1407.0,1,0,1.0,0.00
北海_锦州,714,20,714.0,0,1,0.0,0.00
大连_小榄,3794,40,1897.35,0,2,0.0,1.00
曹妃甸_南沙,21708,240,1973.522727272727,1,10,0.09090909090909091,0.55
钦州_潍坊,668,20,668.85,0,1,0.0,1.00
漳州_梧州（李家庄）,1440,40,720.3,0,2,0.0,0.00
鱼珠_大连,2072,60,1036.35,1,1,0.5,0.50
龙口_宁德,5103,60,1701.0,0,3,0.0,1.00
江门亚太_常州,73,100,18.375,1,3,0.25,0.00
四会_安庆,3160,80,1053.5,1,2,0.3333333333333333,0.00
肇庆（新港）_扬州,590,40,295.05,0,2,0.0,1.00
北海_江阴,1241,100,248.22000000000003,0,5,0.0,1.00
花都巴江_淮安,-424,40,-212.1,0,2,0.0,0.00
曹妃甸_泰州,10172,160,2543.1,4,0,1.0,0.00
扬州_盘锦,4746,200,474.6,0,10,0.0,1.00
小榄_宁德,1808,40,904.05,0,2,0.0,1.00
小铲滩_南京,5268,80,2634.45,2,0,1.0,1.00
长兴_顺德新港,2921,40,2921.1,1,0,1.0,1.00
江阴_虎门,863,20,863.1,0,1,0.0,0.00
唐山_福鼎,4654,60,1551.55,0,3,0.0,0.00
宜昌_泉州,5722,60,1907.5,0,3,0.0,0.33
龙口_顺乐,2460,20,2460.15,0,1,0.0,1.00
漳州_青岛,1697,340,169.785,7,3,0.7,0.70
烟台_中山,11747,120,2349.4800000000005,1,4,0.2,0.60
荆州_湛江海安,2730,20,2730.0,0,1,0.0,1.00
宁波_肇庆（三榕）,1514,40,1514.1,1,0,1.0,0.00
梧州（李家庄）_合肥,5043,60,1681.05,0,3,0.0,1.00
虎门_镇江,4173,100,1391.25,2,1,0.6666666666666666,1.00
大连_南通,12468,140,2493.75,2,3,0.4,0.20
广利港_宁德,6804,80,1701.0,0,4,0.0,0.75
湛江_中山,6690,120,2230.2,3,0,1.0,1.00
淮安_岳阳,1995,20,1995.0,0,1,0.0,0.00
丹东_漳州,11565,160,1445.71875,0,8,0.0,0.88
唐山_东江仓,5868,60,1956.1499999999999,0,3,0.0,0.00
岳阳_镇江,2310,40,1155.0,0,2,0.0,0.00
曹妃甸_阳江,2651,20,2651.25,0,1,0.0,0.00
宜宾_海口,5722,40,2861.25,0,2,0.0,0.50
赤水_锦州,1638,40,819.0,0,2,0.0,0.00
鹤山_连云港,-109,20,-109.2,0,1,0.0,1.00
珠海（高栏）_铜陵,4608,60,1536.1500000000003,0,3,0.0,0.00
南庄_曹妃甸,142,40,71.4,0,2,0.0,0.00
嘉兴_涪陵,6300,40,3150.0,0,2,0.0,0.00
泰州_台山,2975,40,2975.7,1,0,1.0,1.00
莱州_肇庆（三榕）,2499,20,2499.0,0,1,0.0,1.00
淮安_顺乐,6069,80,1517.25,0,4,0.0,0.50
盘锦_九江（江西）,4567,40,2283.75,0,2,0.0,1.00
上海_高明,2635,40,1317.75,0,2,0.0,0.00
龙通_徐州,12352,240,1029.3500000000001,0,12,0.0,1.00
中山_张家港,2614,40,1307.25,0,2,0.0,1.00
潍坊_茂名水东,5523,40,2761.5,0,2,0.0,1.00
大连_湛江,3948,40,1974.0,0,2,0.0,0.00
大连_勒流,10458,80,2614.5,0,4,0.0,1.00
淮安_小塘,1501,20,1501.5,0,1,0.0,0.00
宜昌_如皋,8925,100,1785.0,0,5,0.0,0.00
新港_东莞海腾,2353,20,2353.05,0,1,0.0,1.00
宜宾_三埠,6195,40,3097.5,0,2,0.0,1.00
青岛_乐平,6946,80,3473.4,2,0,1.0,1.00
湛江海安_宜兴,7610,80,1902.6,0,4,0.0,1.00
宿迁_福清,3675,40,1837.5,0,2,0.0,1.00
南沙_江阴,1981,40,1981.35,1,0,1.0,1.00
泉州_安庆,1810,40,905.0999999999999,0,2,0.0,0.50
荆州_中山,5040,40,2520.0,0,2,0.0,1.00
双水小冈_日照,369,300,33.600000000000016,4,7,0.36363636363636365,0.36
德庆_温州,901,20,901.95,0,1,0.0,0.00
重庆_福清,48910,300,4075.89,3,9,0.25,0.75
泰州_阳江,7506,60,2502.15,0,3,0.0,1.00
鸦岗_秦皇岛,299,20,299.25,0,1,0.0,0.00
常州_台山,3847,40,1923.6,0,2,0.0,1.00
黄骅_东江仓,22132,240,2766.61875,4,4,0.5,0.75
烟台_小塘,2315,20,2315.25,0,1,0.0,1.00
铜陵_鱼珠,4531,80,2265.9,2,0,1.0,1.00
福鼎_小塘西,3916,60,1305.5,0,3,0.0,1.00
岳阳_福清,2257,20,2257.5,0,1,0.0,1.00
宜宾_太仓,5040,60,2520.0,1,1,0.5,0.00
长兴_神湾,3700,40,1850.1,0,2,0.0,1.00
莱州_泉州,5964,80,1491.0,0,4,0.0,0.00
黄埔旧港_太仓,3689,100,922.425,1,3,0.25,1.00
云浮_大连,3201,60,1067.1499999999999,0,3,0.0,1.00
长兴_钦州,8030,80,2007.6,0,4,0.0,0.00
连云港_鱼珠,11640,160,2910.075,4,0,1.0,0.00
石龙_大连,4982,80,1245.5625,0,4,0.0,1.00
厦门_石龙,1331,40,665.7,0,2,0.0,1.00
泉州_东洲,1915,40,957.6,0,2,0.0,1.00
惠州_长沙,5318,20,5318.25,0,1,0.0,1.00
莱州_珠海（高栏）,4872,40,2436.0,0,2,0.0,1.00
龙口_鹏成,7923,80,3961.65,2,0,1.0,1.00
烟台_福鼎,1701,20,1701.0,0,1,0.0,1.00
龙通_小铲滩,4139,120,827.82,1,4,0.2,0.80
三水_淮安,-413,40,-206.85,0,2,0.0,0.00
肇庆（三榕）_太仓,255,60,85.05,0,3,0.0,1.00
宜昌_南京,1575,20,1575.0,0,1,0.0,0.00
小榄_连云港,1824,100,608.3000000000001,2,1,0.6666666666666666,0.67
曹妃甸_漳州,7427,180,1485.5399999999997,4,1,0.8,0.00
徐州_新港,2100,40,1050.0,0,2,0.0,1.00
泉州_连云港,217,40,108.675,0,2,0.0,0.50
宁波_台山,10203,180,1133.7666666666669,0,9,0.0,0.56
太仓_福清,19637,440,1309.1960000000001,7,8,0.4666666666666667,0.00
德清_丹东,12390,320,1548.75,8,0,1.0,1.00
双水小冈_大连,718,40,718.2,1,0,1.0,0.00
铜陵_南沙,2319,20,2319.45,0,1,0.0,1.00
南沙_连云港,572,100,190.75,2,1,0.6666666666666666,0.67
肇庆（三榕）_重庆,12484,260,960.3461538461542,0,13,0.0,1.00
泉州_东江仓,1600,40,800.1,0,2,0.0,1.00
