DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20,percent_40,Nomal_Rate,score
营口_安吉,765935,8320,1841.1901442307685,0,416,0.0,1.0,0.23364388596745966
上海_涪陵,7875,80,3937.5,2,0,1.0,0.0,0.23362666649262384
连云港_鸦岗,96238,1040,2830.552941176469,18,16,0.5294117647058824,0.62,0.23354716954749105
青岛_武林,5191,40,2595.6,0,2,0.0,1.0,0.23353231385597878
锦州_小铲滩,590297,5760,2123.3719424460446,10,268,0.03597122302158273,0.96,0.23322485275538113
营口_长兴,54823,460,2491.984090909091,1,21,0.045454545454545456,1.0,0.23317332615200143
营口_梧州（李家庄）,369653,2960,2738.174444444444,13,122,0.0962962962962963,0.79,0.23303011383734068
张家港_小铲滩,85860,700,2601.836363636363,2,31,0.060606060606060615,0.94,0.23301064078528144
营口_黄埔旧港,1861073,26260,2025.1072361262106,394,525,0.4287268770402611,0.08,0.23296164628315255
秦皇岛_南沙,984362,13200,2343.7199999999943,240,180,0.5714285714285714,0.35,0.23280956426904886
南沙_洋浦港,38026,780,1810.8000000000006,18,3,0.8571428571428571,0.86,0.23273578225904462
南京_阳江,73108,580,2520.977586206897,0,29,0.0,1.0,0.23253836246491064
镇江_阳江,5137,40,2568.825,0,2,0.0,1.0,0.23247778955848258
常州_珠海（高栏）,9112,140,2278.2375,3,1,0.75,0.75,0.2324682895880429
荆州_小铲滩,70560,560,2520.0,0,28,0.0,1.0,0.23242782252369312
莱州_紫金村,121592,980,2481.4714285714263,0,49,0.0,1.0,0.23242318663795522
威海_四会,53184,420,2532.5999999999995,0,21,0.0,1.0,0.23241980297270323
太仓_万州,11707,120,3902.5,3,0,1.0,0.0,0.23239227943842006
荆州_汕头,195352,1560,2504.519230769231,0,78,0.0,0.97,0.23237501967042284
泉州_海安,5279,160,1319.85,4,0,1.0,1.0,0.2323195608616719
烟台_南鲲,300699,2580,2331.0,0,129,0.0,1.0,0.2322599636289848
广利港_洋浦港,12768,100,2553.6,0,5,0.0,1.0,0.2320942722148676
龙口_钦州,5113,40,2556.75,0,2,0.0,1.0,0.23200221977725885
潍坊_北海,5109,40,2554.65,0,2,0.0,1.0,0.23191951198921992
宜宾_江阴,778680,10580,2938.415094339623,264,1,0.9962264150943396,0.0,0.23191462091737047
安吉_营口,35406,1100,1264.5,27,1,0.9642857142857144,1.0,0.23178969346600298
潍坊_深圳（大铲湾）,32854,380,2190.3000000000006,4,11,0.26666666666666666,1.0,0.23175435744258194
营口_博罗,1767651,18260,2158.3051282051347,94,725,0.11477411477411475,0.45,0.23168927990296634
青岛_深圳（大铲湾）,889258,26760,1270.369499999997,638,62,0.9114285714285716,0.11,0.23154180976836608
常德_汕头,108570,880,2467.5,0,44,0.0,1.0,0.23151273646094506
漳州_大连,92716,3440,1053.591477272728,84,4,0.9545454545454546,1.0,0.2314382068461557
荆州_台山,35280,280,2520.0,0,14,0.0,1.0,0.2314192899652464
莱州_石龙,94048,760,2474.9605263157896,0,38,0.0,1.0,0.23137433852122266
常州_阳江,124983,1020,2450.6588235294143,0,51,0.0,1.0,0.23135371871452307
日照_三水,14094,160,2818.830000000001,3,2,0.6,0.6,0.2313163799638498
广利港_高明,12668,100,2533.65,0,5,0.0,1.0,0.23130854822849792
江门大鳌_新港,402900,3280,4029.0074999999947,64,36,0.64,0.0,0.23126074473866745
荆州_阳江,15225,100,3045.0,0,5,0.0,0.8,0.23114789461597385
营口_九江（顺德）,62619,640,2846.3590909090913,10,12,0.4545454545454545,0.64,0.231120425924388
黄骅_高明,99198,1040,2419.481707317075,11,30,0.2682926829268293,0.88,0.23105688099258226
寿光_顺德新港,74381,600,2479.4,0,30,0.0,1.0,0.23097288136805216
长兴_茂名水东,22623,160,2827.9124999999995,0,8,0.0,0.88,0.23093409114711805
南通_武林,5053,40,2526.825,0,2,0.0,1.0,0.2308236337977043
营口_乍浦,1047281,15340,2458.4073943661965,341,85,0.8004694835680751,0.1,0.2307909470119073
南昌_大连,60595,1080,1782.220588235294,20,14,0.5882352941176471,0.97,0.2307868548512541
日照_高明,160364,1460,2324.1217391304353,4,65,0.05797101449275361,1.0,0.2307723267271285
莱州_花都（炭步）,152047,1260,2413.45,0,63,0.0,1.0,0.2307527182933592
秦皇岛_顺德新港,89766,840,2564.760000000001,7,28,0.2,0.86,0.2307092125071979
日照_黄埔旧港,60718,540,2529.931250000001,3,21,0.125,0.92,0.2307019233980715
丹东_阳江,10080,80,2520.0,0,4,0.0,1.0,0.23069890956635591
锦州_塘源,2525,20,2525.25,0,1,0.0,1.0,0.23068956491678605
荆州_小塘,7560,60,2520.0,0,3,0.0,1.0,0.23062687152646685
宜昌_宁波,7560,60,2520.0,0,3,0.0,1.0,0.23062687152646685
荆州_三水,7560,60,2520.0,0,3,0.0,1.0,0.23062687152646685
荆州_海口,124267,1020,2536.0714285714284,2,47,0.040816326530612235,0.94,0.23061133867613295
荆州_钦州,5040,40,2520.0,0,2,0.0,1.0,0.23055483348657782
荆州_中山,5040,40,2520.0,0,2,0.0,1.0,0.23055483348657782
宜昌_小塘,5040,40,2520.0,0,2,0.0,1.0,0.23055483348657782
荆州_湛江,5040,40,2520.0,0,2,0.0,1.0,0.23055483348657782
荆州_高明,5040,40,2520.0,0,2,0.0,1.0,0.23055483348657782
龙口_顺德新港,183448,1540,2382.4500000000016,0,77,0.0,1.0,0.23054032636170768
宜昌_石龙,2520,20,2520.0,0,1,0.0,1.0,0.23048279544668876
荆州_漳州,2520,20,2520.0,0,1,0.0,1.0,0.23048279544668876
青岛_茂名水东,27682,380,2516.563636363636,8,3,0.7272727272727273,0.64,0.23044959469335521
泸州_湛江,228879,2520,3633.0,63,0,1.0,0.0,0.23042267809344527
