,SVVD,new_income,old_income
0,IC19-CAC-187 N,21675.87622420305,18674.249999999993
1,IC19-CAE-199 N,21243.854088871045,-20259.75000000017
2,IC19-CAE-200 N,26440.049999999996,26221.649999999994
3,IC19-CAJ-159 N,43560.19500000004,14953.050000000034
4,IC19-CAJ-160 N,2041.3642474605294,-97002.15000000157
5,IC19-CAL-191 N,15211.928075617452,-6759.900000000026
6,IC19-CAL-192 N,-1003.4189455885971,29284.500000000007
7,IC39-TDB-042 N,4857.93,4457.25
