,SVVD,new_income,old_income
0,IC19-CAC-187 N,24416.48999999999,18674.249999999993
1,IC19-CAE-199 N,-2840.2500000001055,-20259.75000000017
2,IC19-CAE-200 N,26440.049999999996,26221.649999999994
3,IC19-CAJ-159 N,26156.970000000027,14953.050000000034
4,IC19-CAJ-160 N,-55934.65500000096,-97002.15000000157
5,IC19-CAL-191 N,3621.449999999978,-6759.900000000026
6,IC19-CAL-192 N,33898.62,29284.500000000007
7,IC39-TDB-042 N,4857.93,4457.25
