DIRECTION,SVVD,WBL_AUD_DT,AMT,VOLUME
营口_南沙,IC9-RFF-393 S,2019-10-18,105.71902173913044,460
营口_南沙,IC9-RFF-393 S,2019-10-21,93.975,40
营口_南沙,IC9-RIG-102 S,2019-09-17,96.91499999999999,40
营口_南沙,IC9-RIG-102 S,2019-09-18,97.30875,160
营口_南沙,IC9-RIG-102 S,2019-09-20,96.980625,80
营口_南沙,IC9-RIG-103 S,2019-09-30,100.0125,80
营口_南沙,IC9-RIG-103 S,2019-10-01,100.0125,40
营口_南沙,IC9-RIG-103 S,2019-10-02,104.0703125,480
营口_南沙,IC9-RIG-103 S,2019-10-07,104.7375,40
营口_南沙,IC9-RIG-103 S,2019-10-09,94.815,40
营口_南沙,IC9-RIG-104 S,2019-10-14,93.84375,80
营口_南沙,IC9-RIG-104 S,2019-10-16,100.06776315789473,380
营口_南沙,IC9-RIG-104 S,2019-10-17,93.975,40
营口_南沙,IC9-RIP-351 S,2019-09-29,94.815,40
营口_南沙,IC9-RIP-351 S,2019-09-30,96.3795,400
营口_南沙,IC9-RIP-351 S,2019-10-01,96.67397727272726,440
营口_南沙,IC9-RIP-352 S,2019-10-14,97.8796875,160
营口_南沙,IC9-RIP-352 S,2019-10-15,108.54375,160
营口_南沙,IC9-RIP-352 S,2019-10-16,110.5125,40
营口_南沙,IC9-RIP-352 S,2019-10-18,110.5125,20
营口_南沙,IC9-RIP-352 S,2019-10-22,110.5125,140
营口_南沙,IC9-RIU-077 S,2019-09-24,109.30499999999999,20
营口_南沙,IC9-RIU-077 S,2019-09-25,109.501875,80
营口_南沙,IC9-RIU-077 S,2019-09-26,94.42125,120
营口_南沙,IC9-RIU-077 S,2019-09-27,96.69704545454543,660
营口_南沙,IC9-RIU-077 S,2019-09-29,100.0125,20
营口_南沙,IC9-RIU-078 S,2019-10-08,120.4875,40
营口_南沙,IC9-RIU-078 S,2019-10-10,94.5525,80
营口_南沙,IC9-RIU-078 S,2019-10-11,103.93055555555556,540
营口_南沙,IC9-RIU-078 S,2019-10-12,103.1625,100
营口_南沙,IC9-RT8-099 S,2019-09-29,101.2375,60
营口_南沙,IC9-RT8-099 S,2019-09-30,94.815,120
营口_南沙,IC9-RT8-099 S,2019-10-02,95.56499999999998,280
营口_南沙,IC9-RZD-216 S,2019-09-20,98.54249999999999,80
营口_南沙,IC9-RZD-216 S,2019-09-22,94.42125,120
营口_南沙,IC9-RZD-216 S,2019-09-23,94.42125,120
营口_南沙,IC9-RZD-216 S,2019-09-24,110.0925,120
营口_南沙,IC9-RZD-216 S,2019-09-25,104.39386363636363,220
营口_南沙,IC9-RZD-216 S,2019-09-26,95.14826086956519,460
营口_南沙,IC9-RZD-216 S,2019-09-27,99.645,120
营口_南沙,IC9-RZD-217 S,2019-10-09,94.55249999999998,320
营口_南沙,IC9-RZD-217 S,2019-10-10,94.5525,160
营口_南沙,IC9-RZD-217 S,2019-10-16,110.5125,40
营口_南沙,IC9-RZD-218 S,2019-10-10,110.25,20
营口_南沙,IC9-RZD-218 S,2019-10-19,110.5125,80
营口_南沙,IC9-RZD-218 S,2019-10-21,104.934375,480
营口_南沙,IC9-RZD-218 S,2019-10-25,120.225,40
营口_南沙,IC9-RZD-218 S,2019-10-29,103.425,100
