DIRECTION,SVVD,WBL_AUD_DT,AMT,VOLUME
新港_南沙,IC10-R3N-080 S,2019-09-30,74.33039634146341,1640
新港_南沙,IC10-R3N-080 S,2019-10-01,72.84375,80
新港_南沙,IC10-R3N-081 S,2019-10-05,80.71875,600
新港_南沙,IC10-R3N-081 S,2019-10-10,82.58588709677419,1240
新港_南沙,IC10-R3N-081 S,2019-10-11,92.019375,80
新港_南沙,IC10-R3N-081 S,2019-10-12,83.80821428571429,980
新港_南沙,IC10-R3N-081 S,2019-10-14,84.10050000000003,700
新港_南沙,IC10-R3N-081 S,2019-10-15,90.59298387096779,620
新港_南沙,IC10-R3N-081 S,2019-10-16,81.43131818181817,1100
新港_南沙,IC10-R3N-081 S,2019-10-17,77.91,80
新港_南沙,IC10-R3N-081 S,2019-10-18,77.91,160
