DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20
海安珠海（高栏）,5832,120,1944.25,3,0
涪陵张家港,11025,100,2205.0,0,5
黄骅花都巴江,25080,300,2090.0249999999996,3,9
南京营口,9111,400,506.21666666666664,2,16
宁波小塘西,15153,220,1377.6000000000001,0,11
顺德新港海口,4149,80,1383.2,1,2
茂名水东防城,11200,420,533.3499999999998,0,21
盘锦太仓,17577,220,1597.909090909091,0,11
双水小冈江阴,17326,560,1155.0699999999997,13,2
连云港茂名水东,44776,500,1865.675,1,23
茂名水东徐州,2587,40,1293.6,0,2
海口防城,12400,1380,179.7173913043478,0,69
贵港南通,26614,400,1330.7175000000002,0,20
四会永泰锦州,1625,40,812.7,0,2
厦门新会新港,5135,180,570.6166666666667,0,9
厦门淮安,16541,420,1503.790909090909,10,1
秦皇岛外沙,11145,80,3715.25,1,2
鹤山海口,8440,380,468.9416666666666,1,17
马尾桂平新龙,9651,120,1608.6000000000001,0,6
鄂尔多斯漳州,14175,200,1417.5,0,10
上海贵港,14766,160,2953.2300000000005,3,2
连云港马尾,89363,1200,2030.9863636363639,16,28
泉州四会永泰,2280,120,380.09999999999997,0,6
顺德新港合肥,23751,780,609.0,0,39
马鞍山厦门,5890,220,535.5,0,11
紫金村上海,64225,1360,1493.6127906976744,25,18
扬州三水,32165,340,1892.1,0,17
泉州深圳（大铲湾）,13045,540,483.1555555555556,0,27
连云港三水,27633,260,2125.6846153846154,0,13
紫金村宿迁,11300,160,1412.5125000000003,0,8
四会永泰张家港,-560,40,-280.35,0,2
龙口钦州,5113,40,2556.75,0,2
黄骅鸦岗,30102,380,2315.5730769230763,6,7
唐山厦门,11636,220,1057.8272727272724,0,11
大连马尾,51194,640,1599.8390625000002,0,32
秦皇岛肇庆（新港）,40729,720,2262.75,18,0
武汉嘉兴,63210,880,1436.590909090909,0,44
小铲滩扬州,16894,400,1689.45,10,0
南京阳江,73108,580,2520.9775862068964,0,29
锦州铁山,76004,700,2171.55,0,35
福清小榄,7305,220,664.1727272727275,0,11
青岛花都（炭步）,75411,1000,2154.6000000000004,15,20
小塘西唐山,41842,2000,418.42499999999995,0,100
汕头钦州,940,60,470.40000000000003,1,1
茂名水东宁波,53249,1420,1109.36875,23,25
泸州江阴,66150,600,2205.0,0,30
乐平营口,4459,340,262.3147058823529,0,17
海口芜湖,6268,100,2089.5,2,1
南通重庆,56032,440,3112.8999999999996,4,14
大连珠海（高栏）,78526,1080,2908.3833333333337,27,0
九江（江西）福清,98700,940,2100.0,0,47
丹东肇庆（三榕）,4599,40,2299.5,0,2
钦州武汉,35549,560,1269.6374999999996,0,28
岳阳三水,7770,80,1942.5,0,4
福清鹏成,7543,240,628.6000000000001,0,12
贵港镇江,7772,120,1295.3500000000001,0,6
漳州徐州,2100,800,52.5,0,40
四会永泰泉州,5141,280,367.275,0,14
紫金村泰州,58035,820,1758.6545454545453,8,25
太仓九江（理文）,177660,3760,1890.0,94,0
清远清新宁德,8047,160,1005.9,0,8
张家港锦州,-357,40,-178.5,0,2
南通泸州,135135,780,3465.0,0,39
日照武汉,24475,200,2447.55,0,10
三埠青岛,-79,80,-19.950000000000003,0,4
青岛茂名水东,27682,380,2516.5636363636363,8,3
锦州成都,80364,880,1826.4749999999995,0,44
海口锦州,76231,1580,1292.0516949152543,20,39
台山唐山,7725,360,429.21666666666664,0,18
海口大麦屿,5880,80,2940.0,2,0
顺德新港小铲滩,4450,120,1483.6499999999999,3,0
大连中山,121476,1240,3918.6000000000013,31,0
新港紫金村,46561,460,3325.8,9,5
漳州乐平,3994,120,665.6999999999999,0,6
岳阳四会,21367,220,1942.5,0,11
台山安庆,5461,120,910.1750000000002,0,6
福清淮安,12230,280,873.6000000000001,0,14
昆明日照,1557,380,81.95526315789472,0,19
龙口上海,26801,340,1914.3749999999998,3,11
泰州荆州,2205,20,2205.0,0,1
日照顺德新港,83046,760,2306.8500000000004,2,34
秦皇岛江阴,8028,100,1605.6599999999999,0,5
秦皇岛宁波,21159,260,1627.6615384615384,0,13
南沙泉州,1056,60,528.1500000000001,1,1
上海泸州,37755,360,4195.1,9,0
秦皇岛北海,45502,480,3791.899999999999,12,0
张家口福清,26040,620,840.0,0,31
东莞海腾连云港,-1376,600,-91.77,15,0
花都巴江日照,1728,860,61.72500000000002,15,13
四会永泰青岛,1549,240,129.15000000000003,0,12
烟台宁德,8946,120,1491.0,0,6
茂名水东泉州,20924,380,1101.284210526316,0,19
长沙小铲滩,21992,200,4398.45,5,0
新会新港唐山,382,40,191.1,0,2
唐山温州,35303,380,2206.4437500000004,3,13
南京小榄,9191,100,1838.3400000000001,0,5
顺乐宁波,39122,1940,738.1698113207545,44,9
龙通锦州,6708,240,670.845,2,8
潍坊福清,10205,140,1457.9999999999998,0,7
南沙海口,22928,940,881.8788461538461,21,5
长兴小塘,8211,80,2052.75,0,4
德庆江阴,2485,280,177.52500000000003,0,14
日照丹东,29589,700,1183.56,10,15
紫金村黄骅,29983,600,999.4600000000002,0,30
南庄安庆,13904,300,926.94,0,15
宁波乐平,14080,240,1408.05,2,8
惠州小铲滩,960,20,960.75,0,1
紫金村小铲滩,3323,60,1107.75,0,3
小榄黄骅,603,80,301.875,2,0
鱼珠福清,9722,360,1080.24,9,0
德庆营口,7994,220,726.7909090909093,0,11
岳阳德清,28350,360,1575.0,0,18
丹东四会永泰,33663,280,2404.5,0,14
秦皇岛南京,31676,380,2879.6727272727276,8,3
马尾唐山,-337,20,-337.05,0,1
宜宾鹤山,21682,140,3097.5,0,7
广利港梧州（李家庄）,12340,100,2468.13,0,5
黄骅南鲲,126142,1760,1433.4409090909094,0,88
梧州（李家庄）蚌埠,13755,160,1719.375,0,8
宜昌小铲滩,16905,160,2415.0,1,6
宁德成都,20563,240,1713.5999999999997,0,12
宁波梧州（李家庄）,17908,260,1377.6,0,13
合肥汕头,137245,1400,2213.637096774194,8,54
青岛白坭,17503,200,1750.35,0,10
烟台马尾,69919,960,2184.984375,16,16
云浮安庆,6455,80,1613.85,0,4
曹妃甸黄埔旧港,51543,420,2454.45,0,21
张家口云浮,3360,80,840.0,0,4
宜兴贵港,121275,1540,1575.0,0,77
高明青岛,-1118,140,-159.75,0,7
博罗烟台,28137,800,703.4475,0,40
青岛广浚东江口,28444,360,1580.25,0,18
秦皇岛肇庆（三榕）,69105,840,1974.45,7,28
福清四会永泰,663,20,663.6,0,1
厦门锦州,2305,320,192.14999999999995,4,8
马鞍山马尾,21936,240,3656.1,6,0
福清重庆,100698,860,3596.3774999999996,15,13
盘锦神湾,35636,400,1781.8499999999997,0,20
唐山梧州（李家庄）,29910,280,2492.5249999999996,2,10
九江（江西）云浮,26250,200,2625.0,0,10
福鼎珠海（高栏）,8034,120,1339.1000000000001,0,6
青岛肇庆（新港）,36610,1160,1262.4258620689654,29,0
长兴新港,367,20,367.5,0,1
泉州龙通,3435,120,572.6,0,6
丹东贵港,31003,260,2384.873076923077,0,13
宁波花都（炭步）,73978,1220,2241.7818181818184,28,5
锦州梧州（李家庄）,53630,440,3575.3900000000003,7,8
青岛鱼珠,54699,1060,2025.916666666667,26,1
台山乍浦,4211,80,1052.8875,0,4
中山海口,14858,260,2122.65,6,1
新港肇庆（新港）,48655,600,3040.996875,14,2
马尾海口,14326,340,842.7176470588234,0,17
神湾海口,8957,220,995.2833333333333,2,7
茂名水东温州,7217,80,3608.85,2,0
福清惠州,8603,180,955.9666666666667,0,9
宜宾徐州,74235,540,2749.4444444444443,0,27
阳江大连,42017,660,1273.2681818181818,0,33
洋浦港鸦岗,1738,160,434.7,4,0
石岛珠海（高栏）,77950,720,4330.608333333334,18,0
虎门芜湖,32345,1320,513.4166666666666,3,60
紫金村南通,6192,80,1548.225,0,4
肇庆（三榕）洋浦港,34479,620,1188.9620689655171,2,27
岳阳防城,2047,20,2047.5,0,1
漳州烟台,3786,320,291.25384615384604,3,10
营口马鞍山,33731,340,1984.1911764705883,0,17
鱼珠钦州,10953,320,684.6,0,16
黄骅德清,22319,200,2231.9849999999997,0,10
珠海（高栏）福清,33471,800,836.7975,0,40
肇庆（三榕）福清,1866,60,622.3000000000001,0,3
乐平新港,7832,420,372.9999999999999,0,21
唐山江阴,9790,120,1631.7,0,6
徐州新会新港,17850,220,1622.7272727272727,0,11
泉州秦皇岛,7054,420,542.6884615384615,8,5
营口宜兴,46315,480,1929.8125,0,24
曹妃甸贵港,2525,20,2525.25,0,1
淮安珠海（高栏）,8946,180,994.0,0,9
南庄太仓,4883,280,348.825,0,14
江阴茂名水东,37808,280,2700.5999999999995,0,14
潍坊海口,41563,380,2309.066666666666,1,17
虎门蚌埠,51048,740,1379.6999999999996,0,37
泰州武汉,16695,300,1113.0,0,15
南庄江阴,2953,140,421.94999999999993,0,7
南京武汉,3465,60,1155.0,0,3
秦皇岛长沙,8139,80,2034.9,0,4
莱州惠州,29988,200,2998.8,0,10
厦门台山,9569,420,455.7000000000001,0,21
四会太仓,4611,180,658.8000000000001,2,5
肇庆（新港）营口,575,120,95.89999999999999,0,6
花都（炭步）秦皇岛,4754,560,169.8,0,28
福清新会新港,12565,560,785.334375,12,4
云浮宁波,28327,800,708.19875,0,40
龙通洋浦港,34984,660,1399.398,8,17
黄骅福清,18453,280,2306.71875,6,2
惠州连云港,59220,2400,987.0,60,0
小塘西乍浦,1967,40,1967.7,1,0
宁波云浮,12486,220,1135.1454545454546,0,11
花都（炭步）小铲滩,3670,60,1223.6000000000001,0,3
潍坊博罗,27665,440,1257.5181818181816,0,22
潍坊中山,13927,120,2321.2000000000003,0,6
张家港重庆,2677,20,2677.5,0,1
三埠宁波,34429,940,732.5425531914896,0,47
中山烟台,11576,260,1052.3863636363637,2,9
福清勒流,9975,340,586.764705882353,0,17
宁德锦州,43991,1040,1221.9958333333332,16,20
钦州如皋,49740,1060,938.5018867924528,0,53
福清珠海（高栏）,19098,1000,397.89312500000005,2,46
江门亚太青岛,-20242,1500,-311.43,10,55
荆州三水,7560,60,2520.0,0,3
肇庆（三榕）马尾,2339,60,779.8000000000001,0,3
珠海（高栏）秦皇岛,337,380,17.739473684210516,0,19
福清黄埔旧港,48216,1960,984.0,49,0
武汉武林,11130,80,2782.5,0,4
连云港虎门,28840,360,1696.4911764705885,1,16
福清中山,10005,360,555.8583333333333,0,18
宜昌嘉兴,21420,240,1785.0,0,12
如皋虎门,103730,1900,1525.449264705882,27,41
寿光新会新港,11859,120,3953.25,3,0
青岛石龙,31955,380,3195.57,9,1
高明烟台,6416,300,583.3227272727273,4,7
高明防城,6394,120,1065.75,0,6
江门亚太张家港,-237,80,-59.325,0,4
三水秦皇岛,19994,640,624.815625,0,32
庙沙围连云港,5058,660,153.3,0,33
南沙秦皇岛,3603,240,400.4,3,6
宁波潍坊,1092,120,182.0,0,6
宁波曹妃甸,0,40,0.0,0,2
秦皇岛南通,37217,680,2189.25,17,0
锦州衡阳,238954,1420,3365.560563380282,0,71
龙通成都,7030,120,1171.8,0,6
外沙三埠,1488,20,1488.9,0,1
德庆安庆,610,20,610.05,0,1
宜宾汕头,9922,60,3307.5,0,3
小塘小铲滩,8737,240,728.0875000000001,0,12
茂名水东漳州,16035,320,1336.3000000000002,4,8
泸州鹤山,21682,140,3097.5,0,7
合肥锦州,798,40,798.0,1,0
紫金村广利港,27871,480,1161.3,0,24
绍兴唐山,2940,80,735.0,0,4
贵港福清,15673,220,1424.8500000000001,0,11
