,before_days,average_count,SVVD,FLOW
2,-55.0,33.0,IC9-RZD-216 SIC8-QNG-589 SIC9-QPE-297 SIC9-RIG-103 SIC9-Q55-106 SIC9-QUB-095 SIC8-TNH-351 SIC9-RIP-352 SIC9-Q22-110 SIC8-QNG-591 SIC8-TNH-352 S,营口_宁波
3,-44.0,69.99999999999999,IC9-RZD-216 SIC8-QNG-589 SIC9-QPE-297 SIC9-RIG-103 SIC9-Q55-106 SIC9-QUB-095 SIC8-TNH-351 SIC9-RIP-352 SIC9-Q22-110 SIC8-QNG-591 SIC8-TNH-352 S,营口_宁波
4,-33.0,55.0,IC9-RZD-216 SIC8-QNG-589 SIC9-QPE-297 SIC9-RIG-103 SIC9-Q55-106 SIC9-QUB-095 SIC8-TNH-351 SIC9-RIP-352 SIC9-Q22-110 SIC8-QNG-591 SIC8-TNH-352 S,营口_宁波
5,-22.0,43.0,IC9-RZD-216 SIC8-QNG-589 SIC9-QPE-297 SIC9-RIG-103 SIC9-Q55-106 SIC9-QUB-095 SIC8-TNH-351 SIC9-RIP-352 SIC9-Q22-110 SIC8-QNG-591 SIC8-TNH-352 S,营口_宁波
6,-11.0,29.0,IC9-RZD-216 SIC8-QNG-589 SIC9-QPE-297 SIC9-RIG-103 SIC9-Q55-106 SIC9-QUB-095 SIC8-TNH-351 SIC9-RIP-352 SIC9-Q22-110 SIC8-QNG-591 SIC8-TNH-352 S,营口_宁波
7,0.0,215.90909090909088,IC9-RZD-216 SIC8-QNG-589 SIC9-QPE-297 SIC9-RIG-103 SIC9-Q55-106 SIC9-QUB-095 SIC8-TNH-351 SIC9-RIP-352 SIC9-Q22-110 SIC8-QNG-591 SIC8-TNH-352 S,营口_宁波
8,12.0,49.63636363636364,IC9-RZD-216 SIC8-QNG-589 SIC9-QPE-297 SIC9-RIG-103 SIC9-Q55-106 SIC9-QUB-095 SIC8-TNH-351 SIC9-RIP-352 SIC9-Q22-110 SIC8-QNG-591 SIC8-TNH-352 S,营口_宁波
9,23.0,165.63636363636363,IC9-RZD-216 SIC8-QNG-589 SIC9-QPE-297 SIC9-RIG-103 SIC9-Q55-106 SIC9-QUB-095 SIC8-TNH-351 SIC9-RIP-352 SIC9-Q22-110 SIC8-QNG-591 SIC8-TNH-352 S,营口_宁波
10,,,,营口_宁波
11,,,,营口_宁波
12,,,,营口_宁波
13,,,,营口_宁波
14,,,,营口_宁波
15,,,,营口_宁波
16,,,,营口_宁波
17,,,,营口_宁波
18,,,,营口_宁波
19,,,,营口_宁波
20,,,,营口_宁波
21,,,,营口_宁波
22,,,,营口_宁波
23,,,,营口_宁波
0,0.0,47.125,IC19-CAL-191 NIC19-CAE-199 NIC19-CAJ-159 NIC19-CAC-187 NIC19-CAL-192 NIC39-TDB-042 NIC19-CAE-200 NIC19-CAJ-160 N,钦州_宁波
1,8.0,232.0,IC19-CAL-191 NIC19-CAE-199 NIC19-CAJ-159 NIC19-CAC-187 NIC19-CAL-192 NIC39-TDB-042 NIC19-CAE-200 NIC19-CAJ-160 N,钦州_宁波
2,16.0,35.375,IC19-CAL-191 NIC19-CAE-199 NIC19-CAJ-159 NIC19-CAC-187 NIC19-CAL-192 NIC39-TDB-042 NIC19-CAE-200 NIC19-CAJ-160 N,钦州_宁波
3,25.0,53.5,IC19-CAL-191 NIC19-CAE-199 NIC19-CAJ-159 NIC19-CAC-187 NIC19-CAL-192 NIC39-TDB-042 NIC19-CAE-200 NIC19-CAJ-160 N,钦州_宁波
4,33.0,20.625,IC19-CAL-191 NIC19-CAE-199 NIC19-CAJ-159 NIC19-CAC-187 NIC19-CAL-192 NIC39-TDB-042 NIC19-CAE-200 NIC19-CAJ-160 N,钦州_宁波
5,,,,钦州_宁波
6,,,,钦州_宁波
7,,,,钦州_宁波
8,,,,钦州_宁波
9,,,,钦州_宁波
10,,,,钦州_宁波
11,,,,钦州_宁波
0,0.0,151.27777777777777,IC9-RIG-102 SIC9-RFF-391 SIC9-Q55-105 SIC9-RIU-077 SIC9-QUB-094 SIC9-RFF-392 SIC9-RAC-164 SIC9-RIP-351 SIC9-Q22-109 SIC9-RZD-217 SIC9-RIU-078 SIC9-QPE-298 SIC9-RAC-165 SIC9-RIG-104 SIC9-RFF-393 SIC20-TCR-061 SIC9-Q55-107 SIC9-RZD-218 S,营口_福清
1,18.0,143.94444444444446,IC9-RIG-102 SIC9-RFF-391 SIC9-Q55-105 SIC9-RIU-077 SIC9-QUB-094 SIC9-RFF-392 SIC9-RAC-164 SIC9-RIP-351 SIC9-Q22-109 SIC9-RZD-217 SIC9-RIU-078 SIC9-QPE-298 SIC9-RAC-165 SIC9-RIG-104 SIC9-RFF-393 SIC20-TCR-061 SIC9-Q55-107 SIC9-RZD-218 S,营口_福清
2,,,,营口_福清
3,,,,营口_福清
4,,,,营口_福清
5,,,,营口_福清
6,,,,营口_福清
7,,,,营口_福清
8,,,,营口_福清
9,,,,营口_福清
10,,,,营口_福清
0,0.0,110.55555555555556,IC39-TDB-041 NIC29-NLY-002 SIC29-CAK-165 SIC29-NLX-002 SIC29-NLW-002 SIC29-CAI-175 SIC29-NLY-003 SIC29-NLX-003 SIC29-CAK-166 S,营口_钦州
1,,,,营口_钦州
2,,,,营口_钦州
