,before_days,average_count
0,0,11.5
1,1,14.75
2,2,59.0
3,3,26.5
4,4,15.0
5,5,5.375
6,6,10.0
7,7,34.875
8,8,5.875
9,9,0.625
10,10,5.5
11,12,0.875
