,before_days,average_count
0,0,9.777777777777779
1,1,7.388888888888889
2,2,6.555555555555555
3,3,8.11111111111111
4,4,5.055555555555555
5,5,5.888888888888889
6,6,7.111111111111111
7,7,2.5555555555555554
8,8,1.5555555555555556
9,9,0.5555555555555556
10,10,0.05555555555555555
